FID,wkb_geometry,pk_class,pk_code,dc_id,construction_and_technical_condition,longitude,latitude,height,construction_type,material,standard_load_capacity_per_t,exclusive_load_capacity_per_t,exceptional_load_capacity_per_t,method_of_determination,subject_of_bridging,section_owner,section_manager,district,section_id,section_station_of_beginning_dc_m,kilometer_station_of_beginning_dc_km,cumulative_starting_station_dc_km
bridges_dc.838,POINT (48.567240776 22.033868623),cesta III. triedy,3761,M4516.01,Zlý,22.0338686230,48.5672407760,104.372499,dosková,prefabrikovaný železobetón,35,75,208,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Michalovce,354608,900,0,3
bridges_dc.839,POINT (48.562067325 22.049100893),cesta III. triedy,3761,M556.01,Veľmi zlý,22.0491008930,48.5620673250,102.811249,trámová,prefabrikovaný železobetón,22,33,81,odhadom,Vodný tok,KE SK,SC KSK - MI,Michalovce,354545,737,0,5
bridges_dc.840,POINT (48.581635761 21.839986487),cesta III. triedy,3769,M2598.01,Uspokojivý,21.8399864870,48.5816357610,100.175000,dosková,monolitický železobetón,26,49,253,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Michalovce,4056,736,0,0
bridges_dc.841,POINT (48.578115316 21.827174916),cesta III. triedy,3769,M7544.01,Uspokojivý,21.8271749160,48.5781153160,98.736999,dosková,monolitický železobetón,26,49,253,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Michalovce,4056,1,0,1
bridges_dc.842,POINT (48.726740437 21.977807643),cesta III. triedy,3770,M2154.01,Uspokojivý,21.9778076430,48.7267404370,104.645000,dosková,monolitický železobetón,22,31,234,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Michalovce,354658,1,0,2
bridges_dc.843,POINT (48.716549164 22.000214868),cesta III. triedy,3770,M5358.01,Uspokojivý,22.0002148680,48.7165491640,102.985499,klenbová,monolitický prostý betón,20,23,96,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Michalovce,354662,1,0,4
bridges_dc.844,POINT (48.709797232 22.030501627),cesta III. triedy,3770,M2840.01,Zlý,22.0305016270,48.7097972320,102.460999,dosková,monolitický železobetón,26,46,294,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Michalovce,354664,98,0,7
bridges_dc.845,POINT (48.663960065 22.007322452),cesta III. triedy,3771,M3534.01,Havarijný,22.0073224520,48.6639600650,100.979749,trámová,monolitický železobetón,21,32,173,odhadom,Kanál,KE SK,SC KSK - MI,Michalovce,4016,1,0,1
bridges_dc.846,POINT (48.618590184 21.980320239),cesta III. triedy,3772,M1770.01,Veľmi zlý,21.9803202390,48.6185901840,105.050000,trámová,prefabrikovaný predpätý betón,24,56,100,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Michalovce,355696,540,0,4
bridges_dc.847,POINT (48.611927817 21.970478587),cesta III. triedy,3772,M5580.01,Zlý,21.9704785870,48.6119278170,100.941999,dosková,monolitický železobetón,26,49,253,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Michalovce,355697,751,0,5
bridges_dc.848,POINT (48.62614467 22.089628357),cesta III. triedy,3774,M3546.01,Uspokojivý,22.0896283570,48.6261446700,108.760750,trámová,monolitický predpätý betón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - MI,Michalovce,355690,44,0,3
bridges_dc.849,POINT (48.662666495 22.262757413),cesta III. triedy,3791,M2216.01,Veľmi dobrý,22.2627574130,48.6626664950,120.589999,dosková,monolitický železobetón,26,33,145,odhadom,Vodný tok,KE SK,SC KSK - MI,Sobrance,3079,553,0,0
bridges_dc.850,POINT (48.746762834 22.103918135),cesta III. triedy,3792,M4294.01,Dobrý,22.1039181350,48.7467628340,107.212499,dosková,prefabrikovaný železobetón,43,108,369,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,2348,837,0,0
bridges_dc.851,POINT (48.76110328 22.121872374),cesta III. triedy,3792,M6122.01,Dobrý,22.1218723740,48.7611032800,113.932499,dosková,prefabrikovaný železobetón,39,105,347,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,2347,23,2,2
bridges_dc.852,POINT (48.848868184 22.184332629),cesta III. triedy,3792,M1482.01,Zlý,22.1843326290,48.8488681840,281.077499,dosková,prefabrikovaný železobetón,38,107,400,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272168,54,14,13
bridges_dc.853,POINT (48.821445139 22.175656899),cesta III. triedy,3794,M1748.01,Dobrý,22.1756568990,48.8214451390,218.520499,dosková,prefabrikovaný predpätý betón,48,117,298,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272170,13,0,0
bridges_dc.854,POINT (48.720189711 22.261064275),cesta III. triedy,3795,M7480.01,Dobrý,22.2610642750,48.7201897110,178.904999,dosková,monolitický železobetón,26,42,316,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,2368,487,0,0
bridges_dc.855,POINT (48.752087528 22.141216012),cesta III. triedy,3797,M5602.01,Uspokojivý,22.1412160120,48.7520875280,112.820250,dosková,prefabrikovaný predpätý betón,38,73,248,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,7017,790,0,0
bridges_dc.856,POINT (48.736127528 22.122080064),cesta III. triedy,3797,M6603.01,Dobrý,22.1220800640,48.7361275280,107.398000,dosková,prefabrikovaný železobetón,26,37,250,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,272288,1,3,3
bridges_dc.857,POINT (48.729683327 22.115804247),cesta III. triedy,3797,M6770.01,Uspokojivý,22.1158042470,48.7296833270,106.831500,dosková,prefabrikovaný železobetón,29,75,264,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,272288,2,4,3
bridges_dc.858,POINT (48.711007925 22.111159625),cesta III. triedy,3797,M1899.01,Dobrý,22.1111596250,48.7110079250,104.134999,dosková,prefabrikovaný železobetón,37,94,330,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,272290,1,6,6
bridges_dc.859,POINT (48.745902816 22.15004111),cesta III. triedy,3798,M1121.01,Dobrý,22.1500411100,48.7459028160,114.408500,dosková,prefabrikovaný železobetón,39,104,347,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,272205,333,0,0
bridges_dc.860,POINT (48.745398948 22.149667706),cesta III. triedy,3798,M4845.01,Zlý,22.1496677060,48.7453989480,114.745750,trámová,prefabrikovaný predpätý betón,24,50,99,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,272205,392,0,0
bridges_dc.861,POINT (48.774259212 22.201606037),cesta III. triedy,3799,M5854.01,Dobrý,22.2016060370,48.7742592120,153.332750,dosková,prefabrikovaný železobetón,39,105,347,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272208,782,0,2
bridges_dc.862,POINT (48.757282683 22.200780835),cesta III. triedy,3800,M3215.01,Dobrý,22.2007808350,48.7572826830,140.537750,dosková,prefabrikovaný predpätý betón,26,78,269,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272214,21,0,1
