FID,wkb_geometry,pk_class,pk_code,dc_id,construction_and_technical_condition,longitude,latitude,height,construction_type,material,standard_load_capacity_per_t,exclusive_load_capacity_per_t,exceptional_load_capacity_per_t,method_of_determination,subject_of_bridging,section_owner,section_manager,district,section_id,section_station_of_beginning_dc_m,kilometer_station_of_beginning_dc_km,cumulative_starting_station_dc_km
bridges_dc.1,POINT (48.484481716 20.36517456),cesta I. triedy,16,M449.01,Veľmi dobrý,20.3651745600,48.4844817160,200.231249,dosková,prefabrikovaný predpätý betón,50,110,420,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,324538,229,118,118
bridges_dc.2,POINT (48.49725994 20.373420948),cesta I. triedy,16,M2863.01,Dobrý,20.3734209480,48.4972599400,197.423999,trámová,monolitický železobetón,18,41,141,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,324541,23,120,119
bridges_dc.3,POINT (48.512428489 20.381660139),cesta I. triedy,16,M1895.01,Veľmi zlý,20.3816601390,48.5124284890,203.366750,trámová,monolitický železobetón,16,47,99,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4582,7,122,121
bridges_dc.4,POINT (48.523230896 20.385598243),cesta I. triedy,16,M3363.01,Veľmi dobrý,20.3855982430,48.5232308960,209.716000,dosková,monolitický železobetón,23,68,385,podľa tabuliek,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4581,658,123,123
bridges_dc.5,POINT (48.560564851 20.444419175),cesta I. triedy,16,M3948.01,Zlý,20.4444191750,48.5605648510,226.788750,trámová,monolitický železobetón,29,74,182,odhadom,Vodný tok,STAT,SSC - IVSC KE,Rožňava,324450,128,130,130
bridges_dc.6,POINT (48.572202238 20.46046136),cesta I. triedy,16,M1714.01,Uspokojivý,20.4604613600,48.5722022380,240.738249,dosková,prefabrikovaný predpätý betón,31,92,143,statický výpočet,Železnica,STAT,SSC - IVSC KE,Rožňava,687804,75,132,131
bridges_dc.7,POINT (48.57431132 20.460893958),cesta I. triedy,16,M4532.01,Veľmi dobrý,20.4608939580,48.5743113200,238.578750,dosková,prefabrikovaný predpätý betón,30,88,194,statický výpočet,Železnica,STAT,SSC - IVSC KE,Rožňava,325857,46,132,132
bridges_dc.8,POINT (48.585089661 20.464908046),cesta I. triedy,16,M6897.01,Dobrý,20.4649080460,48.5850896610,247.031250,dosková,prefabrikovaný predpätý betón,30,86,182,statický výpočet,Účelová komunikácia,STAT,SSC - IVSC KE,Rožňava,689005,300,133,133
bridges_dc.9,POINT (48.621558051 20.493959149),cesta I. triedy,16,M5680.01,Dobrý,20.4939591490,48.6215580510,257.229500,trámová,prefabrikovaný železobetón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Rožňava,4556,475,138,138
bridges_dc.10,POINT (48.623146464 20.496227434),cesta I. triedy,16,M7091.01,Dobrý,20.4962274340,48.6231464640,259.909499,trámová,prefabrikovaný železobetón,32,80,196,projektovaná,Účelová komunikácia,NDS,NDS - SSUR KE,Rožňava,4556,716,138,138
bridges_dc.11,POINT (48.623679283 20.496984808),cesta I. triedy,16,M5948.01,Veľmi dobrý,20.4969848080,48.6236792830,260.470749,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Rožňava,4556,769,138,138
bridges_dc.12,POINT (48.62718182 20.50167323),cesta I. triedy,16,M3538.01,Dobrý,20.5016732300,48.6271818200,261.048999,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Rožňava,4556,1,139,138
bridges_dc.13,POINT (48.642261997 20.524965783),cesta I. triedy,16,M5503.01,Dobrý,20.5249657830,48.6422619970,281.333750,dosková,prefabrikovaný predpätý betón,32,80,196,projektovaná,Cestná komunikácia,STAT,SSC - IVSC KE,Rožňava,4543,570,141,141
bridges_dc.14,POINT (48.651195471 20.561288722),cesta I. triedy,16,M2876.01,Uspokojivý,20.5612887220,48.6511954710,363.145999,trámová,prefabrikovaný železobetón,43,107,420,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,324416,61,144,144
bridges_dc.15,POINT (48.650287567 20.593568003),cesta I. triedy,16,M2692.01,Dobrý,20.5935680030,48.6502875670,351.983999,dosková,prefabrikovaný železobetón,38,84,420,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,1268291,85,147,146
bridges_dc.16,POINT (48.633719343 20.616702125),cesta I. triedy,16,M4556.01,Uspokojivý,20.6167021250,48.6337193430,338.823999,dosková,monolitický železobetón,32,80,196,projektovaná,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4917,78,385,149
bridges_dc.17,POINT (48.632564229 20.617797045),cesta I. triedy,16,M2181.01,Uspokojivý,20.6177970450,48.6325642290,342.648000,klenbová,monolitický prostý betón,29,74,180,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4917,232,385,149
bridges_dc.18,POINT (48.630746357 20.622786353),cesta I. triedy,16,M1388.01,Dobrý,20.6227863530,48.6307463570,368.923500,klenbová,monolitický prostý betón,19,62,150,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4917,713,385,150
bridges_dc.19,POINT (48.629380926 20.628198665),cesta I. triedy,16,M1620.01,Zlý,20.6281986650,48.6293809260,397.107499,klenbová,monolitický prostý betón,24,60,146,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4917,1,386,150
bridges_dc.20,POINT (48.625893351 20.638056726),cesta I. triedy,16,M3303.01,Dobrý,20.6380567260,48.6258933510,451.448000,klenbová,monolitický prostý betón,17,42,104,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4917,1,387,151
bridges_dc.21,POINT (48.597561887 20.673059896),cesta I. triedy,16,M1273.01,Zlý,20.6730598960,48.5975618870,294.954500,dosková,prefabrikovaný predpätý betón,40,92,285,odhadom,"Účelová komunikácia,  Vodný tok",STAT,SSC - IVSC KE,Rožňava,1268292,1,393,157
bridges_dc.22,POINT (48.601377728 20.827157656),cesta I. triedy,16,M4477.01,Dobrý,20.8271576560,48.6013777280,214.232749,trámová,monolitický železobetón,16,60,270,porovnávací výpočet,Železnica,NDS,NDS - SSUR KE,Košice - okolie,451253,123,404,168
bridges_dc.23,POINT (48.605780468 20.838179711),cesta I. triedy,16,M30.01,Uspokojivý,20.8381797110,48.6057804680,222.242249,dosková,prefabrikovaný predpätý betón,20,62,190,podľa tabuliek,Cestná komunikácia,NDS,NDS - SSUR KE,Košice - okolie,6637,640,405,169
bridges_dc.24,POINT (48.605079121 20.876879831),cesta I. triedy,16,M6408.01,Uspokojivý,20.8768798310,48.6050791210,196.583499,dosková,prefabrikovaný železobetón,19,67,314,podľa tabuliek,Miestna komunikácia,NDS,NDS - SSUR KE,Košice - okolie,453520,30,409,173
bridges_dc.25,POINT (48.604965495 20.878750617),cesta I. triedy,16,M2966.01,Dobrý,20.8787506170,48.6049654950,191.571500,dosková,prefabrikovaný železobetón,26,39,245,podľa tabuliek,Vodný tok,NDS,NDS - SSUR KE,Košice - okolie,453520,173,409,173
bridges_dc.26,POINT (48.606246571 20.908306102),cesta I. triedy,16,M7084.01,Dobrý,20.9083061020,48.6062465710,177.894000,dosková,monolitický železobetón,24,45,341,podľa tabuliek,Vodný tok,NDS,NDS - SSUR KE,Košice - okolie,4961,1,411,175
bridges_dc.27,POINT (48.60608464 20.999622732),cesta I. triedy,16,M2371.01,Dobrý,20.9996227320,48.6060846400,212.252500,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Košice - okolie,1303837,840,418,182
bridges_dc.28,POINT (48.598051589 21.063819275),cesta I. triedy,16,M11.01,Uspokojivý,21.0638192750,48.5980515890,208.468750,dosková,monolitický železobetón,23,105,420,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,1303838,68,423,187
bridges_dc.29,POINT (48.628391416 21.167159787),cesta I. triedy,16,M1146.01,Uspokojivý,21.1671597870,48.6283914160,240.721250,dosková,prefabrikovaný železobetón,21,73,225,podľa tabuliek,Vodný tok,STAT,SSC - IVSC KE,Košice II,294237,54,431,195
bridges_dc.30,POINT (48.629080656 21.178382851),cesta I. triedy,16,M7090.01,Uspokojivý,21.1783828510,48.6290806560,239.867499,dosková,monolitický železobetón,20,60,420,podľa tabuliek,Podchod pre chodcov,STAT,SSC - IVSC KE,Košice II,8883,412,196,196
bridges_dc.31,POINT (48.647647661 21.203522359),cesta I. triedy,16,M5626.01,Zlý,21.2035223590,48.6476476610,0.000000,dosková,monolitický železobetón,14,36,88,odhadom,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice II,733204,685,199,199
bridges_dc.32,POINT (48.666160965 21.209249567),cesta I. triedy,16,M974.01,Dobrý,21.2092495670,48.6661609650,0.000000,dosková,monolitický železobetón,22,56,138,odhadom,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice II,355162,402,201,201
bridges_dc.33,POINT (48.681571285 21.214899266),cesta I. triedy,16,M5886.01,Zlý,21.2148992660,48.6815712850,0.000000,trámová,prefabrikovaný predpätý betón,24,50,136,podľa tabuliek,"Cestná komunikácia,  Cestná komunikácia",NDS,NDS - SSUR KE,Košice II,8330,139,203,203
bridges_dc.34,POINT (48.693344057 21.232090721),cesta I. triedy,16,M1014.01,Uspokojivý,21.2320907210,48.6933440570,0.000000,klenbová,monolitický železobetón,30,76,187,odhadom,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice II,8327,110,205,205
bridges_dc.35,POINT (48.694322848 21.233160839),cesta I. triedy,16,M1801.01,Veľmi dobrý,21.2331608390,48.6943228480,0.000000,trámová,prefabrikovaný predpätý betón,30,61,152,podľa tabuliek,"Cestná komunikácia,  Cestná komunikácia",NDS,NDS - SSUR KE,Košice II,8780,37,205,205
bridges_dc.36,POINT (48.693855577 21.23106953),cesta I. triedy,16,M1937.01,Bezchybný,21.2310695300,48.6938555770,228.184250,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Košice II,9217,170,0,0
bridges_dc.37,POINT (48.692859174 21.232891485),cesta I. triedy,16,M560.01,Bezchybný,21.2328914850,48.6928591740,228.229000,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Košice II,5367,97,0,0
bridges_dc.38,POINT (48.694322848 21.233160839),cesta I. triedy,16,M1801.01,Veľmi dobrý,21.2331608390,48.6943228480,0.000000,trámová,prefabrikovaný predpätý betón,30,61,152,podľa tabuliek,"Cestná komunikácia,  Cestná komunikácia",NDS,NDS - SSUR KE,Košice II,8779,45,205,205
bridges_dc.39,POINT (48.693344057 21.232090721),cesta I. triedy,16,M1014.01,Uspokojivý,21.2320907210,48.6933440570,0.000000,klenbová,monolitický železobetón,30,76,187,odhadom,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice II,8328,75,205,205
bridges_dc.40,POINT (48.681571285 21.214899266),cesta I. triedy,16,M5886.01,Zlý,21.2148992660,48.6815712850,0.000000,trámová,prefabrikovaný predpätý betón,24,50,136,podľa tabuliek,"Cestná komunikácia,  Cestná komunikácia",NDS,NDS - SSUR KE,Košice II,8916,201,203,203
bridges_dc.41,POINT (48.666160965 21.209249567),cesta I. triedy,16,M974.01,Dobrý,21.2092495670,48.6661609650,0.000000,dosková,monolitický železobetón,22,56,138,odhadom,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice II,9215,1,201,201
bridges_dc.42,POINT (48.647647661 21.203522359),cesta I. triedy,16,M5626.01,Zlý,21.2035223590,48.6476476610,0.000000,dosková,monolitický železobetón,14,36,88,odhadom,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice II,355156,1,199,199
bridges_dc.43,POINT (48.688030116 21.257476664),cesta I. triedy,16,M6424.01,Bezchybný,21.2574766640,48.6880301160,214.438999,trámová,monolitický predpätý betón,32,80,196,projektovaná,Cestná komunikácia,NDS,NDS - SSUR KE,Košice IV,5351,36,0,0
bridges_dc.44,POINT (48.688848529 21.267136746),cesta I. triedy,16,M4791.01,Uspokojivý,21.2671367460,48.6888485290,207.513749,trámová,prefabrikovaný predpätý betón,24,83,177,odhadom,Cestná komunikácia,NDS,NDS - SSUR KE,Košice IV,9218,167,208,208
bridges_dc.45,POINT (48.68825201 21.266123023),cesta I. triedy,16,M4536.01,Dobrý,21.2661230230,48.6882520100,0.000000,dosková,prefabrikovaný predpätý betón,38,75,243,,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice IV,385214,15,0,0
bridges_dc.46,POINT (48.68825201 21.266123023),cesta I. triedy,16,M4536.01,Dobrý,21.2661230230,48.6882520100,0.000000,dosková,prefabrikovaný predpätý betón,38,75,243,,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice IV,5359,0,0,0
bridges_dc.47,POINT (48.689311299 21.268629546),cesta I. triedy,16,M6449.01,Dobrý,21.2686295460,48.6893112990,207.179250,trámová,prefabrikovaný predpätý betón,35,101,320,podľa tabuliek,Železnica,NDS,NDS - SSUR KE,Košice IV,5340,3,0,0
bridges_dc.48,POINT (48.689821692 21.271698001),cesta I. triedy,16,M4109.01,Dobrý,21.2716980010,48.6898216920,207.100999,dosková,prefabrikovaný železobetón,32,80,206,podľa tabuliek,Železnica,NDS,NDS - SSUR KE,Košice IV,5364,120,209,208
bridges_dc.49,POINT (48.69000401 21.272579681),cesta I. triedy,16,M201.01,Uspokojivý,21.2725796810,48.6900040100,207.323000,trámová,prefabrikovaný predpätý betón,18,39,78,podľa tabuliek,Železnica,NDS,NDS - SSUR KE,Košice IV,5364,161,209,209
bridges_dc.50,POINT (48.690836867 21.279342789),cesta I. triedy,16,M2761.01,Bezchybný,21.2793427890,48.6908368670,0.000000,trámová,monolitický predpätý betón,32,80,196,projektovaná,"Železnica,  Železnica",NDS,NDS - SSUR KE,Košice IV,9337,72,209,209
bridges_dc.51,POINT (48.690836867 21.279342789),cesta I. triedy,16,M2761.01,Bezchybný,21.2793427890,48.6908368670,0.000000,trámová,monolitický predpätý betón,32,80,196,projektovaná,"Železnica,  Železnica",NDS,NDS - SSUR KE,Košice IV,9213,124,0,0
bridges_dc.52,POINT (48.699377017 21.280380329),cesta I. triedy,16,M6147.01,Bezchybný,21.2803803290,48.6993770170,203.808000,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Košice IV,294247,50,210,210
bridges_dc.53,POINT (48.723550321 21.27555481),cesta I. triedy,16,M3537.01,Veľmi dobrý,21.2755548100,48.7235503210,0.000000,iná,monolitický predpätý betón,32,80,196,projektovaná,,NDS,NDS - SSUR KE,Košice IV,28181,45,0,0
bridges_dc.54,POINT (48.722067716 21.274979454),cesta I. triedy,16,M2776.01,Bezchybný,21.2749794540,48.7220677160,0.000000,dosková,monolitický predpätý betón,32,80,196,projektovaná,,NDS,NDS - SSUR KE,Košice IV,28179,86,0,0
bridges_dc.55,POINT (48.722054422 21.274162276),cesta I. triedy,16,M5781.01,Dobrý,21.2741622760,48.7220544220,0.000000,,,32,80,196,projektovaná,,NDS,NDS - SSUR KE,Košice IV,28177,0,0,0
bridges_dc.56,POINT (48.724821449 21.276014255),cesta I. triedy,16,M4324.01,,21.2760142550,48.7248214490,0.000000,,,0,0,0,,,NDS,NDS - SSUR KE,Košice I,28168,0,213,213
bridges_dc.57,POINT (48.72267747 21.274152667),cesta I. triedy,16,M4142.01,Bezchybný,21.2741526670,48.7226774700,0.000000,trámová,monolitický predpätý betón,32,80,196,projektovaná,,NDS,NDS - SSUR KE,Košice I,28169,10,213,213
bridges_dc.58,POINT (48.72267747 21.274152667),cesta I. triedy,16,M4142.01,Bezchybný,21.2741526670,48.7226774700,0.000000,trámová,monolitický predpätý betón,32,80,196,projektovaná,,NDS,NDS - SSUR KE,Košice IV,28170,0,213,213
bridges_dc.59,POINT (48.71840575 21.277052634),cesta I. triedy,16,M1452.01,Bezchybný,21.2770526340,48.7184057500,0.000000,trámová,monolitický predpätý betón,32,80,132,projektovaná,,NDS,NDS - SSUR KE,Košice IV,385206,162,212,212
bridges_dc.60,POINT (48.699457528 21.280247309),cesta I. triedy,16,M1101.01,Bezchybný,21.2802473090,48.6994575280,203.205749,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Košice IV,720700,10,210,210
bridges_dc.61,POINT (48.691126248 21.278926736),cesta I. triedy,16,M1612.01,Bezchybný,21.2789267360,48.6911262480,204.548250,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Železnica,NDS,NDS - SSUR KE,Košice IV,9208,127,209,209
bridges_dc.62,POINT (48.552387778 21.259709171),cesta I. triedy,17,M6832.01,Uspokojivý,21.2597091710,48.5523877780,185.126499,klenbová,monolitický prostý betón,26,48,280,odhadom,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,5224,325,132,2
bridges_dc.63,POINT (48.563844389 21.255519558),cesta I. triedy,17,M3895.01,Uspokojivý,21.2555195580,48.5638443890,179.809750,dosková,prefabrikovaný predpätý betón,26,78,373,podľa tabuliek,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,451390,63,129,3
bridges_dc.64,POINT (48.616701069 21.264463493),cesta I. triedy,17,M6250.01,Zlý,21.2644634930,48.6167010690,196.774000,dosková,monolitický železobetón,18,52,262,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,451497,20,123,9
bridges_dc.65,POINT (48.64389 21.26872),cesta I. triedy,17,M9496.01,Dobrý,21.2687200000,48.6438900000,197.000000,dosková,monolitický predpätý betón,32,80,196,projektovaná,Cestná komunikácia,STAT,SSC - IVSC KE,Košice - okolie,5293,1,122,12
bridges_dc.66,POINT (48.683068231 21.267558337),cesta I. triedy,17,M5203.01,Uspokojivý,21.2675583370,48.6830682310,0.000000,dosková,prefabrikovaný predpätý betón,30,75,183,odhadom,"Miestna komunikácia,  Miestna komunikácia",NDS,NDS - SSUR KE,Košice IV,722270,31,116,17
bridges_dc.67,POINT (48.68825201 21.266123023),cesta I. triedy,17,M4536.01,Dobrý,21.2661230230,48.6882520100,0.000000,dosková,prefabrikovaný predpätý betón,38,75,243,,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice IV,8741,16,117,17
bridges_dc.68,POINT (48.68825201 21.266123023),cesta I. triedy,17,M4536.01,Dobrý,21.2661230230,48.6882520100,0.000000,dosková,prefabrikovaný predpätý betón,38,75,243,,"Vodný tok,  Vodný tok",NDS,NDS - SSUR KE,Košice IV,9331,26,117,17
bridges_dc.69,POINT (48.683068231 21.267558337),cesta I. triedy,17,M5203.01,Uspokojivý,21.2675583370,48.6830682310,0.000000,dosková,prefabrikovaný predpätý betón,30,75,183,odhadom,"Miestna komunikácia,  Miestna komunikácia",NDS,NDS - SSUR KE,Košice IV,367956,58,116,17
bridges_dc.70,POINT (48.871334523 21.787838616),cesta I. triedy,18,M7765.01,Dobrý,21.7878386160,48.8713345230,155.658500,klenbová,monolitický prostý betón,50,130,420,odhadom,Vodný tok,STAT,SSC - IVSC KE,Michalovce,6250,9,744,284
bridges_dc.71,POINT (48.8679184 21.802907678),cesta I. triedy,18,M209.01,Veľmi zlý,21.8029076780,48.8679184000,152.843750,trámová,monolitický železobetón,14,47,165,statický výpočet podľa TP 02/2016,Železnica,STAT,SSC - IVSC KE,Michalovce,355614,96,745,286
bridges_dc.72,POINT (48.868807273 21.808717811),cesta I. triedy,18,M6854.01,Uspokojivý,21.8087178110,48.8688072730,140.212499,dosková,monolitický železobetón,24,41,294,podľa tabuliek,Kanál,STAT,SSC - IVSC KE,Michalovce,355614,548,746,286
bridges_dc.73,POINT (48.871454159 21.826058706),cesta I. triedy,18,M916.01,Zlý,21.8260587060,48.8714541590,134.271999,dosková,monolitický železobetón,29,76,332,odhadom,Vodný tok,STAT,SSC - IVSC KE,Michalovce,6235,62,747,287
bridges_dc.74,POINT (48.850719848 21.848620308),cesta I. triedy,18,M2218.01,Uspokojivý,21.8486203080,48.8507198480,129.012000,dosková,monolitický železobetón,15,39,151,podľa tabuliek,Vodný tok,STAT,SSC - IVSC KE,Michalovce,1146108,2,751,291
bridges_dc.75,POINT (48.823329304 21.853852651),cesta I. triedy,18,M2308.01,Veľmi dobrý,21.8538526510,48.8233293040,125.320000,dosková,monolitický železobetón,32,80,196,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Michalovce,355577,716,754,294
bridges_dc.76,POINT (48.762643632 21.889709023),cesta I. triedy,18,M4911.01,Uspokojivý,21.8897090230,48.7626436320,114.476999,dosková,prefabrikovaný predpätý betón,48,108,296,podľa tabuliek,Kanál,STAT,SSC - IVSC KE,Michalovce,642215,1,761,302
bridges_dc.77,POINT (48.72524084 21.283744588),cesta I. triedy,19,M4479.01,Dobrý,21.2837445880,48.7252408400,0.000000,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Miestna komunikácia,STAT,SSC - IVSC KE,Košice III,382809,10,0,0
bridges_dc.78,POINT (48.725322036 21.283846771),cesta I. triedy,19,M131.01,Dobrý,21.2838467710,48.7253220360,0.000000,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Miestna komunikácia,STAT,SSC - IVSC KE,Košice III,28164,13,0,0
bridges_dc.79,POINT (48.724821449 21.276014255),cesta I. triedy,19,M4324.01,,21.2760142550,48.7248214490,0.000000,,,0,0,0,,,NDS,NDS - SSUR KE,Košice III,294293,257,0,0
bridges_dc.80,POINT (48.732682754 21.336433817),cesta I. triedy,19,M849.01,Zlý,21.3364338170,48.7326827540,193.449750,trámová,monolitický železobetón,20,41,204,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,1068566,313,6,6
bridges_dc.81,POINT (48.73441 21.39178),cesta I. triedy,19,M9692.01,Bezchybný,21.3917800000,48.7344100000,323.000000,dosková,monolitický predpätý betón,32,80,196,statický výpočet,Cestná komunikácia,STAT,SSC - IVSC KE,Košice - okolie,452628,2,11,11
bridges_dc.82,POINT (48.735356378 21.421031407),cesta I. triedy,19,M7043.01,Dobrý,21.4210314070,48.7353563780,232.025999,dosková,monolitický železobetón,32,80,196,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,452632,94,13,13
bridges_dc.83,POINT (48.736348209 21.425634511),cesta I. triedy,19,M2675.01,Veľmi dobrý,21.4256345110,48.7363482090,232.956000,dosková,monolitický železobetón,44,85,265,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,452632,445,14,13
bridges_dc.84,POINT (48.732477904 21.456717872),cesta I. triedy,19,M359.01,Uspokojivý,21.4567178720,48.7324779040,248.892749,trámová,monolitický železobetón,32,74,196,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,452603,38,16,16
bridges_dc.85,POINT (48.731501719 21.461728937),cesta I. triedy,19,M958.01,Veľmi dobrý,21.4617289370,48.7315017190,253.775999,dosková,prefabrikovaný železobetón,29,65,260,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,452604,20,17,17
bridges_dc.86,POINT (48.739224424 21.48187096),cesta I. triedy,19,M1247.01,Veľmi dobrý,21.4818709600,48.7392244240,279.689499,rámová,prefabrikovaný železobetón,50,107,378,podľa tabuliek,Vodný tok,STAT,SSC - IVSC KE,Košice - okolie,452606,931,19,18
bridges_dc.87,POINT (48.73931 21.486108),cesta I. triedy,19,M9571.01,Uspokojivý,21.4861080000,48.7393100000,288.520000,rámová,prefabrikovaný železobetón,38,222,834,statický výpočet podľa TP 02/2016,,STAT,SSC - IVSC KE,Košice - okolie,452606,1,19,19
bridges_dc.88,POINT (48.73517939 21.571126133),cesta I. triedy,19,M3332.01,Uspokojivý,21.5711261330,48.7351793900,276.612999,dosková,monolitický železobetón,32,80,196,projektovaná,Vodný tok,STAT,SSC - IVSC KE,Trebišov,6079,1,27,26
bridges_dc.89,POINT (48.733239 21.580497437),cesta I. triedy,19,M5171.01,Uspokojivý,21.5804974370,48.7332390000,261.850000,dosková,monolitický železobetón,26,38,94,odhadom,Vodný tok,STAT,SSC - IVSC KE,Trebišov,6079,2,27,27
bridges_dc.90,POINT (48.731304209 21.585107883),cesta I. triedy,19,M6521.01,Veľmi dobrý,21.5851078830,48.7313042090,258.264999,dosková,monolitický železobetón,48,130,420,odhadom,Miestna komunikácia,STAT,SSC - IVSC KE,Trebišov,182921,311,28,28
bridges_dc.91,POINT (48.727335066 21.601212735),cesta I. triedy,19,M4493.01,Uspokojivý,21.6012127350,48.7273350660,248.395499,dosková,monolitický železobetón,20,31,77,odhadom,Vodný tok,STAT,SSC - IVSC KE,Trebišov,254116,914,29,29
bridges_dc.92,POINT (48.701368393 21.6934952),cesta I. triedy,19,M4066.01,Dobrý,21.6934952000,48.7013683930,111.822000,dosková,prefabrikovaný predpätý betón,"34,2","78,4","305,7",statický výpočet,Kanál,STAT,SSC - IVSC KE,Trebišov,183133,313,37,37
bridges_dc.93,POINT (48.698979026 21.712357858),cesta I. triedy,19,M3268.01,Dobrý,21.7123578580,48.6989790260,109.420750,dosková,monolitický železobetón,32,80,196,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Trebišov,183137,194,38,38
bridges_dc.94,POINT (48.699313159 21.718617195),cesta I. triedy,19,M2260.01,Uspokojivý,21.7186171950,48.6993131590,107.284499,trámová,prefabrikovaný železobetón,"35,2","97,6",420,statický výpočet,Kanál,STAT,SSC - IVSC KE,Trebišov,183137,664,39,39
bridges_dc.95,POINT (48.699590903 21.723901716),cesta I. triedy,19,M2724.01,Dobrý,21.7239017160,48.6995909030,106.758749,dosková,monolitický železobetón,"26,1","55,2","368,4",statický výpočet,Kanál,STAT,SSC - IVSC KE,Trebišov,183137,1,39,39
bridges_dc.96,POINT (48.699808536 21.728129878),cesta I. triedy,19,M1707.01,Dobrý,21.7281298780,48.6998085360,106.252999,dosková,prefabrikovaný železobetón,"35,2","97,6",420,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Trebišov,183137,1,40,39
bridges_dc.97,POINT (48.700975862 21.747502182),cesta I. triedy,19,M7048.01,Uspokojivý,21.7475021820,48.7009758620,102.540999,dosková,monolitický železobetón,26,58,142,odhadom,Kanál,STAT,SSC - IVSC KE,Michalovce,4831,257,41,41
bridges_dc.98,POINT (48.702644592 21.763946322),cesta I. triedy,19,M4682.01,Uspokojivý,21.7639463220,48.7026445920,105.304250,dosková,monolitický železobetón,24,30,200,odhadom,Kanál,STAT,SSC - IVSC KE,Michalovce,355580,7,42,42
bridges_dc.99,POINT (48.701956646 21.776704321),cesta I. triedy,19,M6348.01,Zlý,21.7767043210,48.7019566460,111.241999,trámová,monolitický železobetón,30,90,300,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Michalovce,355580,877,43,43
bridges_dc.100,POINT (48.700504445 21.784661039),cesta I. triedy,19,M5595.01,Veľmi zlý,21.7846610390,48.7005044450,107.430500,dosková,monolitický železobetón,21,56,220,odhadom,Záplavové územie,STAT,SSC - IVSC KE,Michalovce,355580,1,44,44
bridges_dc.101,POINT (48.699283148 21.800798706),cesta I. triedy,19,M6123.01,Dobrý,21.8007987060,48.6992831480,107.350999,dosková,monolitický železobetón,26,31,165,odhadom,Kanál,STAT,SSC - IVSC KE,Michalovce,355585,18,45,45
bridges_dc.102,POINT (48.712859616 21.835260463),cesta I. triedy,19,M3324.01,Veľmi dobrý,21.8352604630,48.7128596160,133.919999,dosková,monolitický železobetón,33,121,807,porovnávací výpočet,Vodný tok,STAT,SSC - IVSC KE,Michalovce,354511,1,48,48
